status,message,id,terrestrial_date,ls,season,min_temp,max_temp,pressure,pressure_string,abs_humidity,wind_speed,atmo_opacity,sunrise,sunset,local_uv_irradiance_index,min_gts_temp,max_gts_temp,wind_direction,sol,unitOfMeasure,TZ_Data
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,1.00,2012-08-07T00:00:00.000Z,150.00,Month 6,NaN,NaN,NaN,Lower,NaN,NaN,Sunny,05:30,17:22,NaN,NaN,NaN,NaN,1.00,Celsius,America/Port_of_Spain
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,Sol not found,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,192.00,2012-09-26T00:00:00.000Z,177.00,Month 6,-72.00,-10.00,761.00,Higher,NaN,NaN,Sunny,05:20,17:20,Very_High,-76.00,11.00,NaN,50.00,Celsius,America/Port_of_Spain
200,NaN,193.00,2012-09-27T00:00:00.000Z,178.00,Month 6,-76.00,-7.00,762.00,Higher,NaN,NaN,Sunny,05:20,17:20,Very_High,-83.00,13.00,NaN,51.00,Celsius,America/Port_of_Spain
200,NaN,194.00,2012-09-28T00:00:00.000Z,179.00,Month 6,-74.00,-7.00,762.00,Higher,NaN,NaN,Sunny,05:20,17:20,Very_High,-84.00,12.00,NaN,52.00,Celsius,America/Port_of_Spain
200,NaN,195.00,2012-09-29T00:00:00.000Z,179.00,Month 6,-71.00,-5.00,764.00,Higher,NaN,NaN,Sunny,05:20,17:20,Very_High,-81.00,11.00,NaN,53.00,Celsius,America/Port_of_Spain
200,NaN,196.00,2012-09-30T00:00:00.000Z,180.00,Month 7,-72.00,-9.00,766.00,Higher,NaN,NaN,Sunny,05:20,17:20,Very_High,-77.00,10.00,NaN,54.00,Celsius,America/Port_of_Spain
200,NaN,197.00,2012-10-01T00:00:00.000Z,180.00,Month 7,-74.00,-2.00,766.00,Higher,NaN,NaN,Sunny,05:20,17:20,Very_High,-78.00,11.00,NaN,55.00,Celsius,America/Port_of_Spain
200,NaN,198.00,2012-10-02T00:00:00.000Z,181.00,Month 7,-73.00,-4.00,768.00,Higher,NaN,NaN,Sunny,05:20,17:20,Very_High,-80.00,10.00,NaN,56.00,Celsius,America/Port_of_Spain
200,NaN,199.00,2012-10-03T00:00:00.000Z,181.00,Month 7,-73.00,-3.00,769.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-82.00,12.00,NaN,57.00,Celsius,America/Port_of_Spain
200,NaN,200.00,2012-10-04T00:00:00.000Z,182.00,Month 7,-74.00,-3.00,769.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-82.00,11.00,NaN,58.00,Celsius,America/Port_of_Spain
200,NaN,201.00,2012-10-05T00:00:00.000Z,183.00,Month 7,-76.00,-1.00,771.00,Higher,NaN,NaN,Sunny,05:19,17:20,Very_High,-82.00,11.00,NaN,59.00,Celsius,America/Port_of_Spain
